start_date,end_date,name,location
2022-03-21,2022-03-25,GDC 2022,Digital
2022-03-21,2022-03-24,GTC 2022,Digital
2022-03-17,2022-03-18,AI in Finance Summit 2022 London,London England
2022-03-14,2022-03-18,HIMSS 2022,Orlando FL
2022-02-28,2022-03-03,MWC Barcelona 2022,Barcelona Spain
2022-02-02,,Frankfurt Digital finance,Frankfurt Germany
2022-01-25,2022-01-27,Manifest 2022,Las Vegas NV
2022-01-16,2022-01-18,NRF 2022,New York NY
2022-01-05,2022-01-08,CES 2022,Las Vegas NV + Digital
2021-12-08,2021-12-09,NVIDIA North America DPU Hackathon,Digital
2021-12-07,2021-12-09,Q2B 2021,Santa Clara CA
2021-12-06,2021-12-14,NeurIPS 2021,Digital
2021-12-06,2021-12-16,ENCCS GPU Hackathon 2021,Stockholm Sweden
2021-11-29,2021-12-03,AWS reinvent,Las Vegas NV + Digital
2021-11-28,2021-12-02,RSNA 2021,Chicago IL + Digital
2021-11-14,2021-11-18,Supercomputing 2021,St. Louis MO + Digital
2021-11-08,2021-11-11,NVIDIA GTC,Digital
2021-11-02,2021-11-04,Microsoft Ignite 2021,Digital
2021-11-01,2021-11-02,Global STAC Live,Digital
2021-10-27,2021-10-28,Quant Insights 2021,Digital
2021-10-26,2021-10-28,Adobe MAX 2021,Digital
2021-10-20,2021-10-22,ROScon,Digital
2021-10-19,2021-10-21,Arm Dev Summit,Digital
2021-10-18,2021-10-22,ASHG 2021,Digital
2021-10-18,2021-10-27,OLCF GPU Hackathon 2021,Digital
2021-10-17,2021-10-20,IEEE EPEPS,Digital
2021-10-17,2021-10-20,HLTH 2021,Boston MA
2021-10-12,2021-10-14,Google Cloud Next 2021,Digital
2021-10-11,2021-10-17,ICCV 2021,Digital
2021-10-05,2021-10-07,VMworld 2021,Digital
2021-10-05,2021-10-14,NCHC GPU Hackathon 2021,Digital
2021-09-28,2021-09-30,CSCS GPU Hackathon 2021,Lugano Switzerland
2021-09-27,2021-10-01,RecSys 2021,Digital
2021-09-27,2021-10-01,MICCAI 2021,Digital
2021-09-23,,techUK talks: AI Competitiveness in the UK,Digital
2021-09-22,,WIRED Health:Tech,Digital
2021-09-20,2021-09-29,NASA Hackathon 2021,Digital
2021-09-07,2021-09-09,AI Expo Africa 2021,Digital
2021-08-30,2021-09-03,Interspeech 2021,Czechia + Digital
2021-08-23,2021-08-25,MUG,Digital
2021-08-23,2021-09-01,NOAA GPU Hackathon 2021,Digital
2021-08-22,2021-08-24,Hot Chips Conference,Digital
2021-08-09,2021-08-13,SIGGRAPH 2021,Digital
2021-07-26,2021-08-04,C-DAC HPC Hackathon 2021,Digital
2021-07-19,2021-07-22,PEARC 2021,Digital
2021-07-19,2021-07-23,GDC 2021,Digital
2021-07-19,2021-07-28,KISTI GPU Hackathon,Digital
2021-07-06,2021-07-09,PUMPS 2021,Digital
2021-07-05,2021-07-08,PASC 2021,Digital
2021-06-28,2021-07-01,MWC Barcelona 2021,Barcelona Spain 
2021-06-24,2021-07-02,ISC 2021,Digital
2021-06-22,2021-06-24,Teratec 2021,Digital
2021-06-19,2021-06-25,CVPR 2021,Digital
2021-06-19,2021-06-28,NERSC GPU Hackathon 2021,Digital
2021-06-15,2021-06-16,Red Hat Summit 2021 Part 2,Digital
2021-06-14,2021-06-23,CINECA GPU Hackathon ,Digital
2021-06-02,2021-06-10,Princeton GPU Hackathon 2021,Digital
2021-05-24,2021-05-25,1st European DPU Hackathon Event,Digital Europe
2021-05-19,,1st European DPU Hackathon BootCamp,Digital Europe
2021-05-19,2021-05-21,Dask Distributed Summit 2021,Digital
2021-05-18,2021-05-19,STAC 2021,Digital
2021-05-17,2021-05-27,IDRIS GPU Hackathon 2021,Orsay France
2021-05-04,2021-05-13,SDSC GPU Hackathon ,Digital
2021-04-27,2021-04-28,Red Hat Summit 2021,Digital
2021-04-20,2021-04-29,Argonne GPU Hackathon 2021,Digital
2021-04-19,2021-04-28,EPCC GPU Hackathon 2021,Digital
2021-04-12,2021-04-16,NVIDIA GTC,Digital
2021-04-12,2021-04-21,CCNU GPU Hackathon 2021,Wuhan China
2021-03-29,,UCL RITS & DiRAC AI Bootcamp ,Digital
2021-03-22,2021-03-26,Automate 2021,Digital
2021-03-15,2021-03-24,Helmholtz GPU Hackathon 2021,Digital
2021-03-13,2021-03-20,SIGCSE21,Digital
2021-03-08,2021-03-09,NVIDIA/ENCCS AI for Science Bootcamp,Digital
2021-02-21,2021-03-03,Simon Fraser University GPU Hackathon,Digital
2021-01-17,2021-01-19,NRF 2021,Digital
2020-12-15,2020-12-19,GTC China,Digital
2020-12-07,2020-12-09,ECOC,Digital
2020-12-06,2020-12-12,NeurIPS,Digital
2020-12-01,2020-12-09,NOAA GPU Hackathon,Digital
2020-11-30,2020-12-18,AWS reinvent,Digital
2020-11-29,2020-12-04,RSNA,Digital
2020-11-19,2020-11-20,Bootcamp Open ACC pour la Communaute Scientifique Francaise,Digital
2020-11-17,2020-11-18,CAS-ITP GPU Bootcamp,Digital
2020-11-10,2020-11-12,FMS,Digital
2020-11-09,2020-11-10,Navy AI Bootcamp,Digital
2020-11-09,2020-11-19,Supercomputing 2020,Digital
2020-10-05,2020-10-09,GTC Digital 2020,Digital
2020-10-05,2020-10-17,JupyterCon,Digital
2020-10-04,2020-10-08,MICCAI,Digital
2020-09-29,2020-10-01,VMworld,Digital
2020-08-27,2020-08-30,Gamescom 2020,
2020-08-23,2020-08-27,KDD 2020,
2020-08-17,2020-08-28,SIGGRAPH 2020,
2020-06-29,2020-07-02,HPC Summit Digital 2020,
2020-06-23,,NVIDIA Automotive Live Event,
2020-06-23,2020-06-25,Spark + AI Summit 2020,
2020-06-21,2020-06-25,ISC 2020,
2020-06-14,2020-06-19,CVPR 2020,
2020-06-03,2020-06-05,AnacondaCON 2020,
2020-03-25,2020-04-24,GTC Digital 2020,Register Today
2020-02-25,2020-02-27,Embedded World 2020,Booth 2-239 / Exhibition Centre Nuremberg / Nurenmburg Messe / Nuremburg Germany
2020-02-09,2020-02-12,3D Experience World 2020,XR Zone / Music City Center / Nashville TN
2020-01-27,2020-01-31,Cisco Live EU 2020,Booth 29B / Fira Barcelona Gran Via / Barcelona Spain
2019-12-16,2019-12-19,GTC China,Suzhou Jinji Lake International Convention Center / Suzhou China
2019-12-02,2019-12-06,Amazon Re-Invent,Booth #1237 / Sands Expo Center / Las Vegas NV
2019-12-01,2019-12-06,RSNA,Booth #10939 / McCormick Place / Chicago IL
2019-11-19,2019-11-21,Autodesk University,Sands Convention Center / Las Vegas NV
2019-11-18,2019-11-21,SuperComputing,Booth #901 / Colorado Convention Center / Denver CO
2019-11-07,,Nordics AI Innovation day,Radisson Blue Waterfront  / Stockholm Sweden
2019-11-04,2019-11-06,Adobe Max,Los Angeles Convention Center / Los Angeles CA
2019-11-04,2019-11-06,GTC DC 2019,Ronald Reagan Building and International Trade Center / Washington DC
2019-11-04,2019-11-07,VMWorld Europe,Booth #G503 / Fira Barcelona Gran Via / Barcelona Spain
2019-10-28,2019-10-31,TensorFlow World,Booth #313 / Santa Clara Convention Center / Santa Clara CA
2019-10-28,2019-10-30,NetApp Insight,Mandalay Bay / Las Vegas NV
2019-10-22,2019-10-24,MWC Americas,Booth #1745 / Los Angeles Convention Center / Los Angeles CA
2019-10-18,2019-10-20,PDXCON 2019,Funkhaus Berlin / Berlin Germany 
2019-10-16,,Facebook @Scale,San Jose Convention Center / San Jose CA
2019-10-15,2019-10-19,ASHG,Booth #1447 / George R. Brown Convention Center / Houston TX
2019-10-13,2019-10-17,MICCAI,InterContinental Shenzhen / Shenzhen China
2019-10-05,2019-10-06,ACR Imaging Informatics Summit,Ronald Reagan Building and International Trade Center / Washington DC
